studierende_concept_id,studierende_concept_label,close_match_personal_ids,close_match_personal_labels,exact_match_personal_ids,exact_match_personal_labels
08.067.0134,Raumplanung,,,,
08.067.0458,Umweltschutz,08.740.7460,Umweltschutz,,
08.068,Bauingenieurwesen,,,08.750,Bauingenieurwesen
08.068.0017,Bauingenieurwesen/Ingenieurbau,,,,
08.068.0077,Wasserwirtschaft,,,,
08.068.0094,Wasserbau,,,,
08.068.0197,Holzbau,08.750.7560,Holzbau,,
08.068.0429,Stahlbau,,,,
08.069,Vermessungswesen,,,08.760,Vermessungswesen
08.069.0171,Vermessungswesen (Geodäsie),,,,
08.069.0280,Kartographie,08.760.7610,Kartographie,,
08.070,Wirtschaftsingenieurwesen mit ingenieurwissenschaftlichem Schwerpunkt,,,08.675,Wirtschaftsingenieurwesen mit ingenieurwissenschaftlichem Schwerpunkt
08.070.0370,Wirtschaftsingenieurwesen mit ingenieurwissenschaftlichem Schwerpunkt,,,,
08.071,Informatik,,,08.765,Informatik
08.071.0079,Informatik,,,,
08.071.0121,Medieninformatik,,,,
08.071.0123,Ingenieurinformatik/Technische Informatik,08.765.3530,Ingenieurinformatik/Technische Informatik,,
08.071.0200,Computer- und Kommunikationstechniken,08.765.3550,Computer- und Kommunikationstechniken,,
08.071.0221,Bioinformatik,08.765.3540,Bioinformatik,,
08.071.0247,Medizinische Informatik,,,,
08.071.0277,Wirtschaftsinformatik,,,,
08.072,Materialwissenschaft und Werkstofftechnik,,,08.770,Materialwissenschaft und Werkstofftechnik
08.072.0177,Werkstofftechnik,08.770.6990,Werkstofftechnik,,
08.072.0294,Materialwissenschaft,08.770.7700,Materialwissenschaft,,
09,"Kunst, Kunstwissenschaft",,,09,"Kunst, Kunstwissenschaft"
09.074,"Kunst, Kunstwissenschaft allgemein",,,09.780,"Kunst, Kunstwissenschaft allgemein"
09.074.0040,"Interdiszipl. Studien (Schwerpunkt Kunst, Kunstwissenschaft)",,,,
09.074.0091,Kunsterziehung,09.780.7820,Kunsterziehung,,
09.074.0092,"Kunstgeschichte, Kunstwissenschaft",,,,
09.074.0101,Restaurierungskunde,09.780.7830,Restaurierungskunde,,
09.075,Bildende Kunst,,,09.790,Bildende Kunst
09.075.0023,Bildende Kunst/Graphik,,,,
09.075.0204,Malerei,09.790.7920,Malerei,,
09.075.0205,Bildhauerei/Plastik,09.790.7930,"Plastik, Bildhauerei",,
09.075.0287,Neue Medien,09.790.7960,Neue Medien,,
09.076,Gestaltung,,,09.800,Gestaltung
09.076.0007,Angewandte Kunst,09.800.8050,Angewandte Kunst,,
09.076.0069,Graphikdesign/Kommunikationsgestaltung,09.800.8076,Graphikdesign/Kommunikationsgestaltung,,
09.076.0116,Textilgestaltung,,,,
09.076.0159,Edelstein- und Schmuckdesign,09.800.8075,Edelstein- und Schmuckdesign,,
09.076.0176,Werkerziehung,,,,
09.076.0203,Industriedesign/Produktgestaltung,09.800.8010,Industriedesign/Produktgestaltung,,
09.077,"Darstellende Kunst, Film und Fernsehen, Theaterwissenschaft",,,,
09.077.0035,Darstellende Kunst/Bühnenkunst/Regie,,,,
09.077.0054,Film und Fernsehen,09.820.8250,Film und Fernsehen,,
09.077.0102,Schauspiel,09.820.8220,Schauspiel,,
09.077.0106,Tanzpädagogik,,,,
09.077.0155,Theaterwissenschaft,09.820.8240,Theaterwissenschaft,,
09.078,"Musik, Musikwissenschaft",,,09.830,"Musik, Musikwissenschaft"
09.078.0080,Instrumentalmusik,09.830.8310,Instrumentalmusik,,
09.078.0113,Musikerziehung,09.830.8360,Musikerziehung,,
09.078.0114,Musikwissenschaft/-geschichte,09.830.8350,"Musikwissenschaft, -geschichte",,
09.078.0163,Rhythmik,09.830.8364,Rhythmik,,
09.078.0164,Jazz und Popularmusik,09.830.8315,Jazz und Popularmusik,,
09.078.0165,Orchestermusik,09.830.8363,Orchestermusik,,
09.078.0191,Komposition,09.830.8330,Komposition,,
09.078.0192,Dirigieren,09.830.8340,Dirigieren,,
09.078.0193,Kirchenmusik,09.830.8325,Kirchenmusik,,
09.078.0194,Tonmeister,,,,
09.078.0230,Gesang,09.830.8320,Gesang,,
10,Außerhalb der Studienbereichsgliederung/Sonstige Fächer,,,10,Außerhalb der Studienbereichsgliederung/Sonstige Fächer
10.083,Außerhalb der Studienbereichsgliederung,,,,
10.083.0041,Sonstiges Orientierungsstudium,,,,
10.083.0196,Studienkolleg,15.950.9510,Studienkolleg,,
10.083.0290,Sonstige Fächer,,,,
15,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),,,15,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen)
20,Zentrale Einrichtungen der Hochschulkliniken (nur Humanmedizin),,,20,Zentrale Einrichtungen der Hochschulkliniken (nur Humanmedizin)
