studierende_concept_id,studierende_concept_label,close_match_personal_ids,close_match_personal_labels,exact_match_personal_ids,exact_match_personal_labels,related_match_personal_ids , related_match_personal_labels, Bemerkungen,Nachweis zu Bemerkungen
05.048.0233,Nichtärztliche Heilberufe/Therapien,05.445.4455,Nichtärztliche Heilberufe/Therapien,,,,, "studierende_concept_id so nicht in pdf vorhanden, woher kommt diese Zeile?"
05.048.0234,Pflegewissenschaft/-management,05.445.4457,Pflegewissenschaft/-management,,,
05.049,Humanmedizin (ohne Zahnmedizin),,,,,
05.049.0107,Medizin (Allgemein-Medizin),05.440.4400,Humanmedizin allgemein,,,,, abweichender Begriff,
05.050,Zahnmedizin,,,,,
05.050.0185,Zahnmedizin,05.520.5200,Zahnmedizin allgemein,,,,,abweichender Begriff/Plus,
07,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin",,,7,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin",
07.051,Veterinärmedizin,,,,,
07.051.0156,Tiermedizin/Veterinärmedizin,07.540.5400,Veterinärmedizin allgemein,,,,,abweichender Begriff/Minus,
07.057,"Landespflege, Umweltgestaltung",,,7615,"Landespflege, Umweltgestaltung",
07.057.0064,Naturschutz,07.615.6350,Naturschutz,,,
07.057.0093,Landespflege/Landschaftsgestaltung,07.615.6310,Landespflege allgemein,,,07.615.6315; 07.615.6330; 07.615.6340,"Landschaftsarchitektur (ohne Gartenbau) | Landschaftsplanung und Landschaftsentwicklung | Meliorationswesen",drei Fachgebiete (personal ids) einen String gesetzt / ggf. als eigenen Eintrag zu erfassen
07.058,"Agrarwissenschaften, Lebensmittel- und Getränketechnologie",,,7620,"Agrarwissenschaften, Lebensmittel- und Getränketechnologie",
07.058.0003,Agrarwissenschaft/Landwirtschaft,07.620.6200; 07.610.6100,"Agrarwissenschaften allgemein | Agrar-, Forst- und Ernährungswissenschaften allgemein",,,,,zwei Fachgebiete (personal ids) einen String gesetzt / ggf. als eigenen Eintrag zu erfassen,
07.058.0028,Brauwesen/Getränketechnologie,07.620.6260,Brauwesen/Getränketechnik,,,
07.058.0060,Gartenbau,07.620.6300,Gartenbau,,,
07.058.0097,Lebensmitteltechnologie,07.620.6250,Lebensmitteltechnologie/Getränketechnologie,,,,,abweichender Begriff/Plus,
07.058.0125,Agrarökonomie,,,,,,,no match
07.058.0138,Agrarbiologie,07.620.6205,Agrarbiologie,,,
07.058.0220,Milch- und Molkereiwirtschaft,07.620.6255,Milch- und Molkereiwirtschaft,,,
07.058.0227,Weinbau und Kellerwirtschaft,07.620.6235,Weinbau- und Kellerwirtschaft,,,
07.058.0353,Pflanzenproduktion,07.620.6220,Pflanzenproduktion,,,
07.058.0371,Tierproduktion,07.620.6230,Tierproduktion,,,
07.059,"Forstwissenschaft, Holzwirtschaft",,,7640,"Forstwissenschaft, Holzwirtschaft",
07.059.0058,"Forstwissenschaft, -wirtschaft",07.640.6400,"Forstwissenschaft, Holzwirtschaft allgemein",,,,,abweichender Begriff/Plus,
07.059.0075,Holzwirtschaft,07.640.6415,Holzwirtschaft,,,
07.060,Ernährungs- und Haushaltswissenschaften,,,7650,Ernährungs- und Haushaltswissenschaften,
07.060.0071,Haushalts- und Ernährungswissenschaft,07.650.6500,Ernährungs- und Haushaltswissenschaften allgemein,,,,,abweichender Begriff/Plus,
07.060.0320,Ernährungswissenschaft,07.650.6520,Ernährungswissenschaften,,,
07.060.0333,Haushaltswissenschaft,07.650.6510,Haushaltswissenschaften,,,
08,Ingenieurwissenschaften,,,8,Ingenieurwissenschaften,
08.061,Ingenieurwesen allgemein,,,,,
08.061.0072,Interdisziplinäre Studien (Schwerpunkt Ingenieurwissenschaften),08.670.6740,Interdisziplinäre Studien (Schwerpunkt Ingenieurwesen - ohne Mechatronik),,,,,abweichender Begriff/Plus,
08.061.0140,Angewandte Systemwissenschaften,,,,,,,no match,
08.061.0199,Lernbereich Technik,,,,,,,no match,
08.061.0201,Werken (technisch)/Technologie,,,,,,,no match,
08.061.0305,Medientechnik,08.670.6780,Medientechnik,,,
08.061.0310,Regenerative Energien,08.670.6790,Regenerative Energien,,,
08.061.0380,Mechatronik,08.670.6750,Mechatronik,,,
08.062,"Bergbau, Hüttenwesen",,,8680,"Bergbau, Hüttenwesen",
08.062.0020,Bergbau/Bergtechnik,08.680.6820; 08.680.6840,"Bergbau und mineralische Rohstoffwirtschaft | Bergtechnik",,,,,zwei Fachgebiete (personal ids) einen String gesetzt / ggf. als eigenen Eintrag zu erfassen
08.062.0076,Hütten- und Gießereiwesen,08.680.6845,Hütten- und Gießereiwesen,,,
08.062.0103,Markscheidewesen,08.680.6850,"Markscheidewesen, Bergschadenkunde, Geophysik im Bergbau",,,,,abweichender Begriff/Plus
08.062.0390,Archäometrie (Ingenieurarchäologie),08.680.6870,Archäometrie (Ingenieurarchäologie),,,
08.063,Maschinenbau/Verfahrenstechnik,,,8690,Maschinenbau/Verfahrenstechnik,
08.063.0033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,08.690.6955,Chemische Verfahrenstechnik,,,
08.063.0074,Transport-/Fördertechnik,08.690.6950,Transport- und Verteiltechnik,,,,,abweichender Begriff
08.063.0082,Holz-/Fasertechnik,08.690.7040,Holztechnik,,,,,abweichender Begriff/Minus,
08.063.0104,Maschinenbau/-wesen,08.690.6900,Maschinenbau allgemein,,,,,abweichender Begriff
08.063.0108,Metalltechnik,,,,,,,no match
08.063.0141,Abfallwirtschaft,,,,,08.690.6985,Umwelttechnik (einschließlich Recycling),Umwelttechnik kann Abfallwirtschaft mit umfassen
08.063.0143,Augenoptik,,,,,,,no match
08.063.0144,Technische Kybernetik,,,,,08.690.6970,"Steuerungs-, Mess- und Regelungstechnik","laut Gemini ist die Kybernetik ein interdisziplinäres übergeordnetes Fachgebiet, das mehr auf theoretische Überlegungen abziehle, wohingegen MSR eher praktisch orientiert sei"
08.063.0202,Fertigungs-/Produktionstechnik,08.690.6940,Produktions- und Fertigungstechnologie,,,,,abweichender Begriff
08.063.0211,Energieverfahrenstechnik,08.690.6930,Energieverfahrenstechnik,,,
08.063.0212,Feinwerktechnik,08.690.7190,Feinwerktechnik (mechanisch),,,,,abweichender Begriff/Plus
08.063.0213,Versorgungstechnik,08.690.6965,Versorgungs- und Entsorgungstechnik,,,,,abweichender Begriff/Plus
08.063.0215,Gesundheitstechnik,,,,,08.690.7010,Medizintechnik,"abweichender Begriff, Gesundheitstechnik gehe laut Gemini über Entwicklung, Produktion, und Wartung von Produkten hinaus"
08.063.0216,Glastechnik/Keramik,,,,,,,no match
08.063.0219,Kunststofftechnik,08.690.7030,Kunststofftechnik,,,
08.063.0224,Physikalische Technik/Mechanische Verfahrenstechnik,08.690.7020,Physikalische Technik/Mechanische Verfahrenstechnik,,,
08.063.0225,Textil- und Bekleidungstechnik/-gewerbe,08.690.6976,Textiltechnik,,,,,abweichender Begriff/Minus
08.063.0226,Verfahrenstechnik,,,,,,,no match
08.063.0231,Druck- und Reproduktionstechnik,08.690.6907,Print- und Medientechnik,,,,,abweichender Begriff,
